stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,32.69,0,0,0,0,0,0,0,0,0,0,28.6,77.64,0,8.17,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,26.74,9.63,0,0,0,0,0,0,0,0,0,16.05,143.35,0,9.63,0,0,0,0,31.02,7.49,0,0,0,3.21,1.07,0,0,0,1.07,5.35,0,0,0
21Day,13.39,2.68,1.34,251.64,5.35,8.03,0,0,0,0,0,0,1.34,5.35,41.49,119.13,9.37,24.09,0,0,2.68,0,24.09,10.71,0,0,0,2.68,5.35,2.68,4.02,2.68,10.71,2.68,1.34,0,0
3Month,0.32,0.64,2.24,188.77,1.6,0,0.96,19.84,3.52,0.32,13.44,1.28,0,61.43,14.08,92.79,5.12,7.36,0.96,0,19.2,4.8,7.04,0.32,5.76,1.28,0,1.6,3.52,9.92,2.24,0,0,0.64,44.47,3.52,3.84
22Month,1.64,1.09,7.65,95.12,4.92,0,0,12.57,4.92,6.01,84.73,0,0,89.1,6.56,26.24,7.65,6.56,0.55,2.73,14.21,0.55,6.01,0,7.65,0.55,1.09,1.09,0,6.56,17.49,0.55,0,0,5.47,0,1.09
