stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0,0,2.68,0,1.34,0,1.34,0,0,1.34,0,0,0,0,10.71,0,0,1.34,0
3Month,0.96,0.96,15.36,0.64,0.32,0,3.2,2.24,12.8,5.76,0.32,14.08,1.92,3.84,3.52,3.2,0.96,0.64,3.2,1.6,0.96,0.96,0.96,0,3.2,551.91,0.64,1.6,433.21,1.92
22Month,0.55,0,2.73,0,0,0,3.83,0.55,12.57,0,0,11.48,0,0,0,1.64,0,0.55,0,1.64,0,0.55,0,0.55,0,131.74,0,0,3.28,1.64
