stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,13.91,0,0
21Day,0,0,4.02,4.02,1.34,0,0,1.34,0,1.34,1.34,1.34,2.68,1.34,4.02,1.34,13.39,1.34,0,2.68,408.25,0,2.68
3Month,0.32,0,0,0,0,0.32,0,0.96,0,0,0,0,0,0,0.96,0,0,0,0,0,30.08,0.32,0
22Month,0,0.55,0,0,0,0,4.92,0,1.09,0,0.55,0,0,1.09,0,0,0,0,0.55,0,2.73,0.55,0
