stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,1.07,1.07,0,0,1.07,1.07,0,0
21Day,1.34,1.34,0,0,0,4.02,0,0,1.34,0,1.34,1.34,0,0,0
3Month,0.32,0.64,0.32,1.92,0.32,1.28,0.32,0,0,0.32,0.32,14.72,0,32.95,1.6
