stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,4.09,8.17,0,0,4.09,12.26,24.52,0
72hpf,1.07,1.07,0,0,0,0,0,1.07,4.28,0
21Day,1.34,0,0,0,0,0,0,0,0,4.02
3Month,0,0,0.32,0,0,0.32,0,0,0,0
22Month,0,0,0,0,1.09,0,0.55,0,0,0
