stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,28.6,65.38,32.69,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,208.41,0,0,0,0,49.04,220.67,0,0,28.6,0,0,0,0,0,0,8.17,0,0
72hpf,34.23,29.95,3.21,13.91,4.28,0,0,0,0,0,0,0,0,4.28,7.49,0,175.45,0,0,11.77,0,48.14,23.54,0,2.14,243.91,1.07,0,0,1.07,0,0,3.21,0,0
21Day,34.8,26.77,17.4,12.05,9.37,1.34,1.34,2.68,0,2.68,2.68,10.71,4.02,6.69,8.03,4.02,327.94,1.34,0,48.19,0,37.48,20.08,1.34,9.37,109.76,6.69,0,0,2.68,4.02,13.39,2.68,2.68,1.34
3Month,0.32,7.36,1.6,0,0,0,0.64,0.32,0,4.48,0.32,0,2.56,0,0.32,0.64,6.08,3.2,0,0.64,0.96,0,0.32,0,0.32,0.96,0,0.32,0.32,0,0,0,0,0.96,0.64
22Month,0,12.57,6.01,0,0,0,1.09,0.55,2.19,22.96,1.09,1.09,1.64,0,0.55,1.09,8.75,0.55,1.09,2.19,0,0.55,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0.55
