stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,32.69,0,4.09,0,0,0,0,0,0,4.09,4.09,12.26,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,6.42,0,2.14,0,0,0,0,0,0,0,8.56,131.58,0,10.7,0,2.14,4.28,0,41.72,8.56,4.28,2.14,0,0,1.07,1.07,1.07,2.14,0,0
21Day,4.02,0,0,68.27,1.34,4.02,1.34,0,0,0,0,4.02,1.34,0,54.88,1.34,29.45,0,0,528.72,0,18.74,0,1.34,4.02,5.35,1.34,8.03,0,1.34,2.68,0,0
3Month,0,0.32,0.32,39.99,0,0,0,4.48,0.64,7.68,0.64,0.32,15.36,1.6,3.84,3.84,3.84,0.64,0,3.2,0.64,0.32,0,21.44,0,0.96,12.8,0.32,0,0,0,12.48,0.64
22Month,0,1.09,0,11.48,0,0,0,0.55,0.55,14.76,0,0,36.63,0,0,2.19,24.05,0,0.55,2.73,0,0,0,14.21,0,0.55,7.65,0,0,0,0,0,0
