stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,44.95,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,1.07,0,0,38.51,8.56,0,0,0,0,0,1.07,0,0,0
21Day,1.34,2.68,4.02,2.68,1.34,0,9.37,1.34,6.69,1.34,61.57,20.08,2.68,1.34,6.69,4.02,2.68,2.68,2.68,1.34,0
3Month,0,0.32,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,0.55,0,0,0.55,0.55,0.55,0,0,0,0,0,1.64,0,0,0,0
