stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,3.21,5.35,0,0,0,0,10.7,1.07,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,1.34,1.34,0,2.68,0,1.34,2.68,0,1.34,0,18.74,0,0,0,0,0,0,0,0,0,2.68,1.34,1.34,0,0,0,0
3Month,0,0.96,6.72,0,0,41.27,7.04,70.71,0.64,2.24,0.32,0.96,86.71,1.28,0,0.96,0.32,0.96,0,0.64,0,0,0,0.32,4.16,0.32,0.32,6.72,2.88
22Month,0,1.64,1.64,0,0.55,83.09,15.31,33.89,3.83,0,0.55,0,69.43,3.28,1.64,0,0,0.55,0,0.55,1.64,0.55,0.55,0,2.73,1.64,0,0,3.28
