stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,28.6,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,4.09,237.01,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,3.21,0,10.7,0,0,0,0,0,0,0,0,0,0,0,6.42,5.35,0,22.47,0,0,3.21,0,81.3,57.77,0,3.21,288.84,0,0,0,20.33,0,0,0,0,0,0
21Day,4.02,2.68,0,14.72,1.34,8.03,1.34,0,0,1.34,0,0,9.37,10.71,0,0,0,2.68,22.76,0,0,2.68,0,22.76,28.11,0,0,369.44,4.02,0,0,2.68,0,1.34,0,0,0,5.35
3Month,0,0.32,1.28,6.4,0.96,0,0.32,0.64,2.24,5.44,3.84,22.72,52.47,0.96,3.2,0.64,4.16,8,3.84,1.6,0,5.12,0.96,0.96,0.64,1.6,0,59.19,0.64,0.32,5.12,0.32,0,0,0.96,3.2,2.24,7.36
22Month,0.55,3.83,0,25.69,0,0,0,0.55,2.73,8.75,3.28,84.18,12.03,2.73,9.29,0,5.47,11.48,9.29,0.55,5.47,2.19,0,2.19,0,1.64,0,13.67,0.55,0,2.19,2.73,1.64,0,0,0,0,4.92
