stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,1.07,1.07,2.14,0,0,0,0,0,0,0,1.07,5.35,0,2.14,0,0,1.07,0,2.14,0,0,1.07,0,0
21Day,0,0,14.72,0,0,0,0,0,0,0,1.34,0,0,20.08,5.35,1.34,0,0,5.35,0,0,0,1.34,0,0,0
3Month,0.96,1.6,8,0,0,0.32,9.92,0.32,4.8,0.32,0.32,18.56,0.32,2.56,1.92,1.28,0,0.32,0,0.96,0,0.64,10.24,0.32,8,1.28
22Month,0.55,0.55,4.37,0,0,0.55,2.73,1.64,17.49,0,1.09,29.52,0,0,2.73,1.09,0.55,0,1.09,0,0,0,3.28,0,0,0
