stage,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,2.14,0,1.07,0,1.07,0,0,0
21Day,0,0,0,0,2.68,0,4.02,1.34,0,1.34,1.34,0
3Month,0,0,0.96,0.32,0,0,0,0,0,0.96,0,0
22Month,0.55,0.55,2.19,1.09,0,1.09,0,0,0,9.84,0,0.55
