stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,8.17,73.56,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,9.63,2.14,0,0,0,3.21,0,0,0,0,2.14,0,0,0
21Day,0,1.34,0,2.68,1.34,8.03,0,5.35,0,0,0,0,0,0,0,0,0,0,6.69,0,1.34,0,9.37,1.34,0,0,0,2.68,0,1.34,0,1.34,0,0,0,0
3Month,0.64,3.84,0.32,34.55,1.6,0,1.28,1.28,4.16,5.76,0,51.51,5.12,1.6,22.4,3.52,14.4,4.48,17.92,4.16,2.88,3.2,2.56,0.64,3.84,0.64,0,0.32,0.96,99.82,0.64,0,0.96,3.2,46.39,3.52
22Month,0,3.28,0.55,2.73,0.55,0,0.55,1.09,0,3.28,1.64,39.36,2.19,2.19,11.48,0.55,0,2.73,8.2,0,0,0,0,0.55,2.19,0,0.55,0.55,0,15.31,0,0,0,0,0,1.09
