stage,Cardiomyocyte,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,1.07,79.16,6.42,1.07,0,1.07
21Day,1.34,4.02,1.34,0,1.34,1.34,0,2.68,5.35,56.22,2.68,1.34,0,0
3Month,0,0,0,0.32,0.32,0,0.32,0,0,0,0,0,0.32,0
22Month,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0
