stage,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0
72hpf,5.35,0,0,0,0,0,0,0,0,1.07,1.07,0,0
21Day,5.35,0,1.34,0,0,1.34,0,2.68,0,1.34,1.34,1.34,0
3Month,4.48,0.64,0,0.96,0.64,0,0.32,0,0.32,0,0,0,0.32
