stage,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0
72hpf,1.07,0,0,0,0,0
21Day,0,0,1.34,0,0,0
3Month,0,0.32,0,0,0.32,0.32
