stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,28.6,24.52,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,6.42,1.07,0,1.07,0,0,0,0,0,0,0,2.14,99.49,1.07,1.07,0,0,0,0,16.05,1.07,0,0,0,8.56,2.14,0,2.14,0,0,0,0,0
21Day,0,1.34,0,10.71,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,1.34,0,0,6.69,0,2.68,1.34,4.02,2.68,9.37,0,0,0,1.34
3Month,0.32,1.28,0,345.55,0,1.28,0,2.24,2.88,2.24,13.44,1.92,0.32,3.84,0,4.48,5.44,1.92,0.64,0,0.32,0.32,2.56,0,6.08,0.32,0,1.28,4.8,15.36,0,0,0.32,0,6.4,0.96
22Month,0.55,2.73,1.64,395.78,0,1.64,1.64,1.09,6.56,7.11,368.45,2.73,1.64,6.01,0,2.19,13.67,7.65,0,8.75,0.55,0,1.64,0,7.65,4.37,1.09,0,2.73,29.52,1.64,0,0,0.55,0,4.92
