stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,8.17,0,0,65.38,0,0,0,0,4.09,0,8.17,12.26,0,4.09,0,0,4.09,159.37,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,0,0,0,0,0,0,0,2.14,5.35,0,4.28,0,1.07,0,0,7.49,10.7,0,0,0,1.07,0,0,3.21,3.21,0,0,0
21Day,0,5.35,0,13.39,1.34,0,0,0,0,1.34,0,2.68,1.34,0,1.34,0,0,0,0,1.34,6.69,0,0,0,1.34,0,0,4.02,0,0,0,2.68
3Month,0,8.32,0.32,18.88,3.2,0.64,0,8,4.8,1.28,2.24,5.44,2.24,7.36,5.12,0.32,0,0.64,8.32,0,0,0.96,0,0,0.32,1.28,4.16,0.32,0,3.2,0.96,14.4
22Month,0,1.64,0.55,4.92,0.55,1.09,0,20.77,1.09,0,1.09,0.55,1.09,1.09,1.64,0,0,0,0,0,0,1.64,2.19,0.55,0,0,0,0.55,0,1.09,0,0.55
