stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Nephron_cell
72hpf,0,0,0,1.07,0
21Day,0,0,0,5.35,0
22Month,0.55,1.09,0.55,0,0.55
