stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,4.09,0,0,0,0,0,0,0,4.09,4.09,0,16.35,0,0,0,126.68,0,0,0,0,0,0,0,0,0
72hpf,2.14,3.21,3.21,2.14,2.14,0,0,0,0,0,0,0,0,7.49,1.07,8.56,2.14,0,21.4,32.09,3.21,1.07,0,0,0,0,0,0,0
21Day,8.03,0,13.39,0,13.39,9.37,0,0,0,0,6.69,1.34,1.34,1.34,2.68,8.03,0,2.68,2.68,22.76,6.69,4.02,0,2.68,1.34,1.34,0,0,1.34
3Month,0,0.32,3.52,0,0,0.64,1.92,0,3.84,0.64,0,0.32,0,1.28,1.92,2.88,0,0,0.32,0.32,0,0.96,6.4,0,0,0,0.32,27.52,1.92
22Month,0.55,0,0.55,0,0,0,0.55,0.55,4.37,0,1.09,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
