stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,77.64,0,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,21.4,0,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,36.37,0,0,0,70.61,17.12,0,1.07,25.67,0,1.07,2.14,0,0,0,0
21Day,10.71,0,8.03,0,0,0,0,0,0,0,1.34,1.34,0,5.35,1.34,14.72,0,2.68,0,26.77,13.39,0,1.34,8.03,2.68,1.34,0,1.34,0,0,0
3Month,0.32,0,23.04,0,0,0.64,1.92,0,9.6,0.32,0,0.64,0.96,2.56,1.92,19.84,3.2,0.32,0.96,1.28,0.96,0.64,0,0.32,0.64,16.96,0,0,4.16,2.24,8.64
22Month,0.55,0.55,6.56,1.09,0.55,1.09,3.83,25.69,62.87,1.09,1.09,4.92,0,0,3.28,15.85,0,0,0,0.55,0,0,0,0,0.55,12.57,0,0,0,0,9.29
