stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
3Month,0,0,0.32,0.96,0.64,4.48,0,0.64,0.32,0.32,0,0.32,0,0.32,0.32,0
22Month,0.55,0.55,0,1.09,0.55,9.84,0.55,0,0,0,0.55,0,0,0,0,0.55
