stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Macrophage,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,5.35,0,0,13.91,0,0
21Day,0,0,0,1.34,0,0,0,10.71,0,1.34
3Month,0,0,0.64,0,0.32,0.64,0.64,0,1.6,0.32
22Month,0.55,0.55,3.83,0.55,0,0,0,1.09,0,0
