stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,1.07,9.63,3.21,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,1.34,5.35,1.34,1.34,0,6.69,0,0,0,0,2.68,1.34,1.34,1.34,0,0,1.34,0,0,0,0,1.34,1.34,1.34,0,0,0,0,1.34,0,0,0,0
3Month,0,1.28,9.92,0.32,0,0.32,0,1.28,8.32,0,24.32,13.76,0,4.48,1.28,3.84,4.8,3.84,0.32,0.32,0.32,1.28,0.96,0,1.92,0.64,0,1.28,0,3.52,0,2.24,1.6,3.2
22Month,0,1.64,6.01,0,0,1.09,0.55,2.73,16.4,9.84,71.61,15.31,1.09,15.31,1.09,4.37,9.29,6.01,0,2.19,0,0,0,0,1.09,1.64,0,0,0.55,2.19,1.64,0.55,0,2.73
