stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,4.09,0,0,0,0,0,0,0,36.78,0,0,0,4.09,286.05,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,4.28,0,0,0,0,0,0,0,0,0,1.07,0,7.49,2.14,0,21.4,0,1.07,0,38.51,80.23,0,0,14.98,0,0,7.49,0,1.07,0,0,0
21Day,6.69,4.02,2.68,1.34,0,0,0,0,1.34,0,5.35,0,1.34,0,0,8.03,0,0,0,8.03,20.08,0,0,1.34,1.34,1.34,2.68,1.34,0,0,0,0
3Month,0,5.76,0,1.28,2.24,0.64,0,0,0.96,0.96,0.96,6.08,0,1.6,1.28,2.24,0.64,2.88,0.96,0.64,0.64,0.32,0,0,0.32,59.19,0.32,0,0,0.64,4.16,2.24
22Month,0,0,0,0,0.55,0,0.55,0,3.28,0,0.55,1.09,0,0.55,0,1.09,0,0,0,0,0,0,0.55,0,0,2.19,0,0,0,0.55,0,0
