stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,49.04,678.34,4.09,0,4.09,0,0,0,0,0,0,0
72hpf,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,58.84,46,1.07,0,4.28,0,0,3.21,1.07,0,0,0
21Day,0,0,0,5.35,0,1.34,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,14.72,16.06,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0,0.32,0.96,4.16,0.32,0,0.32,0.64,0.32,80.31,0.64,1.6,0.32,0.32,0,1.6,0,0.32,1.92,0.64,0.32,0,0.32,0,2.24,7.36,0,0,0.64,0.32,0.32
22Month,0,1.09,0,2.19,0.55,0,0,0,0.55,26.24,0,0.55,0,0.55,1.09,0,0.55,0,0.55,0.55,0,0.55,0,0,0,0,0,0,0,0,0
