stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,4.09,0,4.09,0,0,0,0,0,4.09,0,0,4.09,77.64,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,2.14,0,2.14,0,0,17.12,8.56,0,0,1.07
21Day,1.34,1.34,1.34,10.71,1.34,0,0,0,0,8.03,0,0,1.34,2.68,1.34,0,2.68
3Month,0,0.32,0,0.64,0,0.32,0,0.32,0.32,0.32,0.32,0.32,0,0,0,0.32,0
22Month,0,0,0,0,0,3.28,0.55,0,0,0,0,0,0,0,0,0,0
