stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,1.07,2.14,8.56,0,2.14,0,0,0,0,0,0,0,6.42,1.07,0,119.82,0,2.14,19.26,17.12,0,4.28,0,0,0,1.07,0,0
21Day,5.35,0,0,26.77,0,5.35,0,1.34,0,0,0,4.02,0,1.34,0,1.34,13.39,4.02,321.25,0,0,26.77,13.39,2.68,6.69,8.03,0,2.68,0,9.37,6.69
3Month,0,0,0.32,1.92,0,0,0,0,0,0.64,0,6.08,0.64,0,2.56,0.32,3.2,0.32,126.06,0.32,0,0,0,0,0,0.64,1.92,0,0,0,0.64
22Month,0,0.55,0,4.37,0,0,0.55,0,0.55,7.11,0.55,21.32,0.55,0,1.64,0,0.55,2.73,601.87,0.55,0.55,0.55,0,0,0,0,0.55,1.09,1.64,0,4.37
