stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.64,0.32,6.4,0.64,1.28,0.32,0.32,0,0.32,1.28,0.32,0.96,0.96
22Month,0.55,0.55,5.47,0,0,0,0.55,0.55,0,0.55,0,0,0
