stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,4.09,0,0,4.09,0,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,9.63,2.14,2.14,0,0,0,2.14,6.42,0,5.35,0,0,1.07,0,1.07,0,0,0
21Day,0,0,14.72,0,1.34,0,1.34,0,1.34,0,0,0,5.35,1.34,0,9.37,6.69,14.72,0,0,0,2.68,1.34,1.34,4.02,1.34,0,5.35,2.68,1.34,0,0,1.34
3Month,1.92,1.28,53.43,0.64,0,0.32,1.28,2.88,16.64,0,21.12,14.4,3.52,19.2,0.96,17.92,16.32,4.16,1.92,0.96,1.92,0.32,0.32,3.52,0,0.64,2.24,0.96,0,0,5.76,0.96,20.16
22Month,1.64,3.83,10.39,0,0,0,0.55,2.19,13.67,3.28,44.28,6.01,7.11,22.96,0,3.83,15.31,9.29,0,0.55,0.55,0,0.55,1.09,0,1.09,0.55,1.64,0,0,0.55,0,3.83
