stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,294.22,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,8.17,0,0,4.09,0,0,0,0,0,0,0
72hpf,576.62,2.14,0,2.14,0,0,0,0,0,0,0,0,0,1.07,7.49,0,6.42,0,0,0,0,20.33,10.7,0,0,1.07,0,0,3.21,0,1.07,0,0
21Day,448.41,2.68,0,9.37,4.02,0,0,1.34,0,1.34,0,1.34,0,0,2.68,1.34,14.72,0,0,0,0,10.71,8.03,2.68,0,6.69,6.69,4.02,1.34,6.69,0,0,4.02
3Month,21.12,0,0.32,7.04,0,0.32,0.32,0.64,0,8.32,2.88,0.32,1.92,0.32,28.48,0.96,5.76,1.92,0,0.32,0.64,0,0,1.28,0,0,0.64,9.6,0,0,0,0.32,0.96
22Month,12.57,0.55,1.09,4.37,0,0.55,1.64,2.19,1.64,57.95,3.83,2.73,3.83,0,0.55,2.19,8.75,0.55,1.64,1.09,0,1.64,0,0,0.55,0,1.09,18.59,0,0,0,0,1.64
