stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,53.12,0,0,0,0,24.52,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,6.42,0,0,0,0,0,0,0,0,0,1.07,26.74,7.49,5.35,0,0,1.07,1.07,4.28,0,0,0,2.14,0,0,0,1.07,0,0
21Day,2.68,0,0,38.82,0,0,0,2.68,0,1.34,2.68,32.12,0,0,1.34,22.76,10.71,0,0,9.37,0,0,2.68,0,0,0,1.34,0,0,1.34,0,9.37
3Month,0,1.28,0.64,26.56,0.64,0.32,0.32,29.76,0,4.16,31.99,3.52,1.92,1.28,5.12,45.75,9.28,0.32,0.32,0.64,0.96,0.64,0,0,0.64,0.32,0.64,0.96,0,0,0.96,11.52
22Month,0,0,0,10.93,1.09,0,0,63.96,1.09,15.31,26.24,6.01,0.55,0,1.64,52.48,15.31,0,0.55,1.09,0,0,0,0.55,0,0,0,1.09,0.55,0,0,6.56
