stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,20.43,0,0,0,0,0,0,0,0
72hpf,4.28,6.42,1.07,0,0,0,0,0,0,0,0,3.21,0,10.7,0,0,0,0,7.49,1.07,0,0,12.84,0,1.07,1.07,0,0
21Day,6.69,4.02,1.34,0,0,0,0,0,0,0,0,2.68,0,10.71,0,0,0,0,5.35,2.68,0,0,1.34,0,5.35,1.34,0,0
3Month,0.32,3.2,0,0.32,0,0,3.84,0.32,0.32,0.64,0.64,2.56,0,2.56,0.64,0,0.64,0.64,0,0,0,0,0,1.92,0.32,0,0.64,0.32
22Month,0,2.19,0.55,0,1.09,0.55,18.04,1.09,2.19,2.73,0,1.64,0.55,4.37,0,1.64,0,0,0,0,0.55,0.55,0,2.19,0,0,0.55,0.55
