stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.74,0,0,0,0,0,0,0,0,0,0
3Month,1.6,1.6,15.04,0,0.32,0,3.2,6.08,0,23.36,7.04,5.76,0.32,4.8,3.2,6.72,0.32,0,3.2,1168.77,0.64,0,0.32,0,7.04,6.72,0,1.28,5.12,2.56
22Month,0.55,0,3.28,0,0,0,1.64,1.64,1.09,18.04,0,3.28,0.55,1.09,2.73,0,0.55,2.19,1.09,120.81,0,0.55,0,0,0.55,1.09,0.55,0,0,1.09
