stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,179.8,200.23,1246.35,4.09,16.35,0,0,149550.15,4.09,0,12.26,73.56,367.78,192.06,711.03,0,637.48,6885.59,89.9,0,32.69,0,0,0
72hpf,0,0,67.4,0,0,2.14,0,12.84,0,0,0,1.07,6.42,0,1.07,0,4.28,5.35,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0,0.96,0,0,0,1.28,0,0.32,0.64,0.32,0,0.32,0.32,27.84,0.32,0,0,0,1.6,0,0.32,0.32,0.32
22Month,0,0,0.55,0,0,0,0,0,3.83,0,0,0,0,0,11.48,0,0.55,0,0,3.83,0,0,0,0
