stage,Cardiomyocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,4.09,0,0,0,0,8.17,0,4.09,0
72hpf,1.07,0,0,0,0,0,1.07,0,0
22Month,0,0.55,3.28,0.55,1.09,0,0,0,0.55
