stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,40.86,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,1.07,0,0,0,0,0,0,0,2.14,7.49,1.07,6.42,1.07,2.14,19.26,19.26,7.49,0,0,5.35,1.07,1.07,1.07,0,0
21Day,8.03,0,24.09,4.02,0,0,0,0,0,0,1.34,0,1.34,0,1.34,32.12,0,2.68,21.42,13.39,2.68,2.68,1.34,0,1.34,1.34,1.34,0,1.34
3Month,0,0,3.2,0,0,0.32,0.32,0,2.88,0,0,0.96,0.96,0.96,0.64,0.64,0,0,0.32,0,0,0,0.64,0,0,0,0,0.64,0.32
22Month,0,0.55,1.64,0,0,0,1.09,0,6.01,1.09,0,3.28,0,0.55,1.64,2.19,0,0,0,0,0,0,0.55,0,0,0,0,0,1.09
