stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,0,0,12.26,237.01,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,3.21,1.07,0,0,0,0,0,0,0,0,0,1.07,8.56,0,10.7,0,1.07,341.26,48.14,0,2.14,11.77,0,0,8.56,0,0,1.07,0,0
21Day,9.37,0,6.69,0,8.03,12.05,0,0,0,0,0,16.06,0,1.34,1.34,2.68,14.72,2.68,0,164.64,24.09,0,1.34,8.03,2.68,0,1.34,1.34,1.34,0,0,8.03
3Month,0,0.32,5.12,0,0,0.32,3.52,1.28,0,3.52,0.32,0.32,0.64,0.32,0.64,1.28,0.32,2.56,0.96,0,0.32,0.64,0,0,0.96,13.76,0,0,0,0,86.07,1.28
22Month,0,0.55,0,0,0,0,0.55,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
