stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,449.5,0,0,0,0,0,0,0
72hpf,1.07,1.07,6.42,3.21,0,0,0,0,0,0,0,0,0,1.07,4.28,1.07,4.28,74.89,189.35,3.21,7.49,0,72.75,1.07,1.07,0
21Day,0,1.34,32.12,2.68,2.68,0,1.34,0,0,0,0,0,0,0,0,0,2.68,13.39,52.2,1.34,1.34,4.02,6.69,0,0,0
3Month,0,0,3.52,0,0,0.32,0,0.32,0.32,0,0.64,0,0.64,0,3.2,0.32,0.64,0,0.64,0.32,0,0.32,0,0,0,12.48
22Month,0,0,1.64,0,0,0.55,0,0,0,0.55,6.01,0.55,0.55,0,0,0.55,1.09,0.55,0,0,0,0,0,0.55,0,0
