stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,8.17,4.09,36.78,0,0,0,0,0,0,24.52,0,28.6,8.17,208.41,0,0,0
72hpf,2.14,0,1.07,5.35,0,0,0,0,0,1.07,0,3.21,5.35,14.98,0,0,0
21Day,1.34,0,2.68,4.02,2.68,0,1.34,0,0,0,1.34,1.34,1.34,4.02,0,1.34,0
3Month,0,0,0.32,0,0,0,0.32,0,0.32,0,0,0,0,0,0.96,0.32,1.28
22Month,0,0.55,0.55,0,0,0.55,2.73,0.55,0,0,0,0,0,0,0,0,0
