stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0
21Day,5.35,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,4.16,0.32,2.56,0.64,0.32,0.64,0.32,0.64,0.32,0.32,2.56,0.32,0,2.88,0.32,0.32,0.32
22Month,2.19,0,9.29,0,0,1.64,0,0,0,0.55,1.64,0.55,0,0.55,0,0,0
