stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
21Day,0,0,0,0,0,2.68,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,13.39
3Month,0.32,1.6,1.6,1.92,0.96,0.64,0.32,0.32,0.96,17.92,1.92,0.32,0.32,0.32,0.32,0.32,0,0,0.32,0.64,79.35
22Month,0,1.64,0,1.64,0,0,0,0,0,2.73,0,0,0,0,0,0.55,0.55,0,0,0,8.2
