stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,8.17,53.12,0,0,0,0,0,0
72hpf,1.07,3.21,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,11.77,0,73.82,0,0,1.07,5.35,5.35,56.7,0,0,1.07,0,0
21Day,8.03,10.71,0,4.02,0,2.68,0,0,0,0,0,0,0,1.34,0,2.68,0,116.45,0,0,14.72,5.35,2.68,69.6,5.35,0,1.34,0,1.34
3Month,0,25.92,0.32,6.08,0,0,0,0.96,0.64,0,7.36,1.6,0,3.52,0.32,2.56,2.88,27.84,3.2,0,0.64,0.32,0.64,0.64,0,0.96,0.32,0.96,1.28
22Month,0,115.34,0.55,4.37,0,0,0.55,0,2.19,1.09,31.71,1.09,0.55,1.64,0,0.55,1.09,23.51,0.55,1.64,2.73,0.55,0,0,0,1.64,0.55,0,0
