stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,2.68,0,0,4.02,1.34,0,1.34,0,10.71,0,1.34,1.34,1.34,0,0,4.02
3Month,0,1.6,0.64,0.96,0,5.44,0,0.96,0.64,1.28,1.28,1.92,2.56,0,0.32,0.32,0.32,0,0,0,0.32,0.64,0.64,8.64
22Month,1.64,1.64,0.55,2.19,1.09,28.97,0.55,2.73,3.83,0,0,5.47,2.19,3.28,0,0,1.64,0,0,0,0,0,0,6.56
