stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,12.26,28.6,0,0,0,0,0,122.59,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,3.21,0,25.67,4.28,0,0,0,0,1.07,0,0,0,0,0,2.14,33.16,3.21,9.63,0,1.07,0,0,14.98,7.49,0,0,0,13.91,0,0,4.28,0,0,0
21Day,6.69,4.02,0,26.77,13.39,0,5.35,0,0,0,0,1.34,0,4.02,1.34,1.34,12.05,6.69,22.76,0,0,2.68,1.34,8.03,6.69,0,1.34,0,1.34,2.68,6.69,4.02,0,0,0
3Month,0,4.16,3.52,35.83,0,0.64,0,0.64,2.56,2.56,0.32,15.68,2.56,0.96,14.08,3.84,22.08,11.52,24.32,4.8,0,1.92,1.28,2.24,0.64,1.92,0.64,0,0.64,2.24,129.26,0.96,5.76,35.19,1.6
22Month,1.09,4.37,7.11,15.85,0,2.19,0,0,0.55,3.83,8.75,123,1.09,4.37,20.77,0.55,4.92,26.24,21.32,0,2.73,1.09,1.09,0,0,1.64,1.09,2.19,0,1.64,74.89,2.19,0,0,0
