stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,32.69,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,1.07,0,0,0
21Day,0,4.02,4.02,0,0,4.02,0,1.34,40.16,0,0,0,1.34,0,0,0,1.34,0
3Month,0.32,1.28,11.84,1.92,0.32,0,0,0.32,8.64,0,0,0,0.32,0,0,0.32,0.32,0.32
22Month,0.55,1.09,11.48,10.93,0,0,1.09,0,7.11,1.09,0.55,0.55,0,0,0,0.55,0,0
