stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,0,0,0,4.02,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.32,1.28,0.32,33.27,0.32,0.96,0,8.96,1.28,4.48,0.64,2.56,1.6,0.64,0.64,0,616.22,0.96,0.32,0.32,0,1.28,1.92,0.96,1.28,0.32,1.6
22Month,0,1.09,0.55,15.31,1.64,0,0.55,12.03,0.55,3.83,0,0,2.73,0,0,0.55,320.89,0,0,0,0.55,0,0,1.09,0,0,0.55
