stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,2.14,0,4.28,160.47,0,0,0,0,0,32.09,0,0,0,7.49,2.14,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,123.15,0,0,0,0,1.34,9.37,0,0,1.34,6.69,1.34,0,0,0,1.34,0,0,1.34,0,1.34
3Month,0,0.32,2.24,71.03,0.32,1.6,0.64,0.32,0,4.8,0.32,0.32,0,0,0,0.32,0,0,0.32,1.28,3.84,0,2.88,0
22Month,0,0,0,21.87,0.55,0.55,0,0.55,0,2.19,0,0,0,0,0,0,0,0.55,0,0,5.47,0,0,0
