stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,20.43,241.1,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,10.7,0,1.07,0,0,22.47,10.7,0,1.07,1.07,0,1.07,2.14,1.07,0,0,0
21Day,1.34,0,0,8.03,0,2.68,0,0,0,1.34,0,0,0,0,0,0,1.34,1.34,5.35,0,0,1.34,0,6.69,6.69,0,0,1.34,0,0,0,0,0,0,2.68
3Month,0,1.6,0,11.2,0,0,0,0.64,2.56,2.56,0,12.8,0.96,0.64,4.8,2.24,3.84,3.84,3.84,0.32,0,2.24,0.32,0,0.64,1.28,0,0.32,3.84,0.64,0,0.64,3.52,3.2,3.2
22Month,0,2.73,1.09,10.39,0,0,1.09,0,0,2.19,1.09,21.32,1.09,1.09,11.48,0,1.64,1.64,3.28,0.55,2.73,0.55,0,1.09,0,1.64,0.55,0.55,1.64,0,0,0,0,0,1.64
