stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,0,4.09,4.09,0,0,0,0,4.09,0,0,69.47,0,0,0
72hpf,1.07,2.14,4.28,0,0,1.07,1.07,1.07,0,9.63,16.05,0,8.56,0
21Day,0,2.68,0,0,0,0,0,0,0,10.71,1.34,1.34,1.34,1.34
3Month,0,0,0,0.64,0.32,0,0,0,0.32,0,0,0,0,0
22Month,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0
