stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,16.35,36.78,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,3.21,1.07,0,1.07,0,0,0,0,0,5.35,1.07,2.14,1.07,0,0,5.35,5.35,0,1.07,0,0,0,2.14,0
21Day,1.34,1.34,0,30.79,2.68,0,0,0,5.35,2.68,1.34,2.68,14.72,1.34,6.69,0,2.68,0,6.69,8.03,0,1.34,0,0,1.34,1.34,4.02
3Month,0,0.32,0.32,12.48,0,0.64,0.32,0,5.76,0,2.88,0.64,3.2,0.96,1.28,0,0,0.64,0.32,0.32,0.32,0,0.32,2.56,0,0,0.32
22Month,0,2.73,0,4.92,0,0.55,1.09,2.73,19.68,0,1.64,0,1.09,0,1.09,0,0.55,0,0.55,0,0,0,0,0,0,0,0.55
