stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,4.09,12.26,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,4.28,0,0,0,0,0,0,0,0,0,1.07,1.07,7.49,0,0,0,0,5.35,4.28,0,0,4.28,0,0,2.14,0,0,0
21Day,1.34,0,0,10.71,0,0,0,0,0,0,0,2.68,0,1.34,2.68,1.34,4.02,0,0,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0,1.28,0.96,8.96,0,1.92,1.6,0,0,247.64,1.6,0,1.92,0.96,3.84,8.64,5.44,0.96,0,1.28,2.88,0,0,0.64,1.28,0,1.6,5.12,0.32,1.28,11.84,1.28
22Month,0,1.64,0,5.47,0,1.09,4.92,9.29,0,137.76,1.09,0.55,1.64,1.09,0.55,10.39,7.65,0,6.56,0,1.09,0,0,0.55,0.55,0,0.55,1.09,0,1.09,0,2.73
