stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0
21Day,14.72,0,4.02,0,0,211.49,0,0,1.34,0,0,2.68,13.39,10.71,0,0,0,0,16.06,6.69,0,0,0,1.34,0,0,16.06
3Month,0,0,1.6,3.52,0.96,111.02,1.92,1.6,0,1.6,0.32,0.96,4.16,0.96,0,0,0.32,0.32,0.64,0,0,0,0,0.32,4.8,0,12.8
22Month,0,3.83,1.64,1.09,0,602.41,15.31,3.83,0.55,2.19,0,0,4.37,1.64,0.55,4.37,0,0,3.28,0,1.09,10.93,0.55,0.55,2.19,0.55,15.31
