stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0,0.32,0.64,0,0.64,0.32,0.32,0,0.96,0.64,0,0,0,0.32,0,0,0.64,16.32,3.84,0.64
22Month,0.55,0.55,2.19,0,0.55,0.55,10.93,2.19,0,0.55,0.55,0.55,0.55,1.09,1.09,0,0,0,0,1.09,0,0
