stage,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
72hpf,0,0,0,6.42,0
22Month,2.19,0.55,0.55,0,0
