stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,1.07,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,3.21,1.07,0,0,2.14,0,4.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,4.02,0,22.76,1.34,0,0,0
3Month,0.32,0,1.28,0,0,0.64,0.96,0,3.52,0.96,0.64,2.88,0.64,1.28,0.96,1.28,0,0.32,0,0,0.64,0,0,2.24,191.33,0,0.64,3.84,0.32
22Month,0,0,0.55,0,0.55,0,0,0.55,4.92,0,0,1.09,0,0,0.55,1.09,0.55,0,1.09,0,0,3.28,0,0.55,65.05,0,0,0,0
