stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,5.35,0,0,0,0
21Day,0,1.34,0,1.34,1.34,0,0,0,1.34
3Month,0.32,0,0.32,0,0,0,0,2.24,0
22Month,0,0,0,0,0,0,2.73,0,0
