stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,T_cell
3Month,0.32,0.64,0.32,0.32,9.6,0.64,0.32
22Month,0,0,0.55,0,0,0,0
