stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,1.07,1.07,2.14,0,0,0,0,0,0,2.14,0,0,139.07,11.77,0,1.07,0,3.21,0,0,0
21Day,1.34,2.68,4.02,0,0,1.34,0,0,0,0,2.68,0,76.3,6.69,1.34,1.34,0,2.68,1.34,0,0
3Month,0,0.64,0,0.32,0.32,0,0.96,0,0.32,0.32,0,0,0.32,0,0,0,0.32,0,0,0,0
22Month,0,0.55,0,0,0,0,7.11,0.55,2.19,0,0.55,0.55,0,0,0,0,0,0,0,0.55,0.55
