stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,4.28,8.56,0,0,0,0,0,0,0,6.42,0,4.28,0,0,0,23.54,8.56,0,3.21,0,0,0,0,0,0,0
21Day,1.34,0,0,12.05,26.77,10.71,0,0,0,2.68,0,0,6.69,1.34,9.37,0,0,0,5.35,2.68,0,1.34,2.68,0,1.34,2.68,0,0,0
3Month,0,0,0.64,3.52,0,0,1.92,5.12,1.28,0,2.56,0.32,1.92,1.28,1.6,0,0.64,0.32,0,0,0.32,0,0.64,1.28,0,0,0.32,0.96,0.64
22Month,0,0.55,1.09,1.64,0,0,0.55,13.12,0,0,0,0,0.55,0,1.09,0.55,0,0,0,0,0.55,0,0,1.64,0,0,0,0,1.09
