stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,12.26,0,0,0,4.09,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,9.63,17.12,0,1.07,3.21,3.21,0,1.07,0,0,0,0
21Day,2.68,0,1.34,8.03,0,1.34,5.35,0,1.34,0,0,0,2.68,0,1.34,2.68,0,8.03,0,1.34,0,2.68,2.68,0,0,1.34,1.34,0,0,1.34,0,0,1.34
3Month,0,0,0,3.84,0,0,0,0.64,0.32,0,0,12.16,0,0.64,0,1.92,0,2.24,0,0,0.32,0,0,0,0.32,0,0,15.04,0,0,0.32,33.59,0
22Month,0,2.73,0.55,3.83,0,0,0,1.09,1.09,3.83,0,33.35,0,2.19,0.55,0.55,2.73,2.73,2.73,0.55,0,0,0,0.55,0.55,0,0,4.92,2.73,0,0,1.09,0
