stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,328.43,0,1.07,0,0,6.42,0,0,1.07,0,0,0,0
21Day,2.68,0,0,2.68,1.34,0,0,0,0,0,1.34,0,0,0,0,2.68,0,4.02,0,0,0,139.21,1.34,0,1.34,0,1.34,2.68,0,1.34,0,0,0,0
3Month,0.32,0.32,0.96,5.44,0,0.32,0.32,1.92,5.12,0,9.6,6.08,0.64,3.52,1.28,2.24,4.8,2.56,0.96,0,7.68,722.77,0,2.24,0,0,0,0.64,2.88,0,0,0.32,1.92,5.12
22Month,0,0,0.55,4.37,0,0,0,0,6.01,2.19,16.4,3.28,0,1.09,0,0,3.28,2.19,0,1.09,1.64,706.82,0,1.64,0,0.55,0,4.37,1.09,0.55,4.37,0,0,0.55
