stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0
72hpf,2.14,2.14,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,0,8.56,6.42,0,0,1.07,0,0,0
21Day,0,2.68,1.34,0,1.34,0,1.34,0,0,0,0,0,5.35,0,0,6.69,1.34,0,0,1.34,0,1.34,0
3Month,0,0.32,0.96,0,0,0.32,0,1.28,0.32,0.64,0.96,0.64,0.96,0.32,0,0,0,0.32,0,0,0.32,0,0.32
22Month,0,0.55,0.55,0.55,0,0,0.55,4.37,0,1.09,0,0.55,0,0,0.55,0,0,0,0.55,0,0,0,0
