stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,57.21,0,0,0,0,0,0,0,0,0
72hpf,3.21,7.49,3.21,0,4.28,0,0,0,0,0,0,0,0,0,0,14.98,0,7.49,1.07,0,1.07,811.97,213.96,3.21,0,11.77,0,2.14,8.56,0,0,0
21Day,4.02,1.34,4.02,0,10.71,0,9.37,0,0,0,1.34,0,9.37,6.69,0,1.34,1.34,6.69,0,0,0,153.93,65.59,1.34,0,2.68,8.03,4.02,1.34,0,0,2.68
3Month,0.32,0.32,5.44,0.32,0,0.32,0.32,0.64,2.24,0,9.28,4.8,0,1.92,1.28,0.96,2.56,1.6,0.32,0.64,0,4.16,0.96,7.36,0,0,1.92,19.52,0,0.32,1.28,0.64
22Month,1.09,3.83,4.92,0,0,0.55,0,0.55,12.03,1.64,66.69,7.11,1.09,5.47,0.55,1.64,6.01,4.37,2.19,0.55,0.55,1.64,1.64,10.39,1.64,0,0,17.49,1.09,0.55,0,1.64
